Chr	Peak_pos	-log10(FDR-adjusted-pvalue)_Coverage_Genotype	-log10(FDR-adjusted-pvalue)_Coverage_Tissue	-log10(FDR-adjusted-pvalue)_Coverage_Interaction	Feature_type	Gene
chr2L	179270	0.360532	14.1923	1.4009	intron	spen
chr2L	181455	0.229247	13.5715	1.87669	intron	spen
chr2L	182936	0.37713	7.43348	1.77764	5'UTR	spen
chr2L	188205	0.0623654	5.13224	0.919681	exon	spen
chr2L	190803	0.000203435	7.0793	1.83501	exon	spen
chr2L	193320	0.358528	8.0682	0.149305	exon	mRpL10
chr2L	194786	0.20375	8.28312	0.503907	exon	mRpL10
chr2L	195353	0.508715	7.40248	0.547275	exon	mRpL10
chr2L	195850	0.491481	6.66519	0.683755	exon	mRpL10
chr2L	196608	0.201265	9.69934	0.171312	exon	mRpL10
chr2L	197135	0.170115	7.28855	0.664797	exon	mRpL10
chr2L	199014	0.784777	10.5082	0.0953702	exon	mRpL10
chr2L	202376	0.425201	5.91731	0.491568	TTS	mRpL10
chr2L	203692	0.698866	6.11583	2.1602	promoter-TSS	mRpL10
chr2L	207453	0.626309	2.68757	1.24088	promoter-TSS	Tbc1d15-17
chr2L	209809	0.212192	8.19992	1.5485	TTS	Tbc1d15-17
chr2L	210067	0.441191	9.2766	1.33513	TTS	Tbc1d15-17
chr2L	210357	0.319723	11.1509	1.05829	TTS	Tbc1d15-17
chr2L	211404	0.208001	6.83709	2.26175	TTS	Tbc1d15-17
chr2L	212730	0.122345	7.22844	1.26935	exon	Tbc1d15-17
chr2L	213348	0.123558	7.86046	1.21684	exon	Tbc1d15-17
chr2L	213796	0.253748	9.56113	0.150046	exon	lncRNA:CR44220
chr2L	214235	0.38507	7.43971	0.497407	exon	lncRNA:CR44220
chr2L	214702	0.164294	6.92686	0.930358	exon	lncRNA:CR44220
chr2L	215169	0.248216	6.26967	1.21571	exon	lncRNA:CR44220
chr2L	220266	1.63908	11.9235	0.661581	TTS	lncRNA:CR44220
chr2L	220748	1.90437	7.2744	0.874074	TTS	lncRNA:CR44220
chr2L	222250	0.357993	5.45542	1.69597	promoter-TSS	kis
chr2L	222755	0.366283	12.0831	1.90326	promoter-TSS	lncRNA:CR44222
chr2L	223340	0.177937	14.5908	2.88966	promoter-TSS	lncRNA:CR44222
chr2L	224506	0.424127	12.0236	1.86748	non-coding	lncRNA:CR44222
chr2L	224787	0.370001	14.2076	1.6739	TTS	lncRNA:CR44222
chr2L	230847	0.609057	10.0223	1.02186	exon	snoRNA:kis-a
chr2L	231925	0.614461	11.7655	0.218437	promoter-TSS	snoRNA:kis-a
chr2L	232697	0.71978	13.0269	0.0720986	promoter-TSS	CG13693
chr2L	239998	0.062447	5.78806	3.06183	exon	mir-965
chr2L	240328	0.0969467	7.6228	0.998568	exon	mir-965
chr2L	240937	0.829132	5.20307	0.909755	exon	mir-965
chr2L	243829	0.297618	8.77511	2.10626	promoter-TSS	mir-965
chr2L	244435	0.80077	7.29015	1.17472	intron	mir-965
chr2L	247087	0.539062	8.44851	1.91588	intron	lncRNA:CR44218
chr2L	247333	0.217679	8.51079	3.08696	intron	lncRNA:CR44218
chr2L	248024	0.121228	8.5376	3.376	promoter-TSS	lncRNA:CR44218
chr2L	249259	0.435122	2.61744	1.21504	non-coding	lncRNA:CR44218
chr2L	249606	0.123352	7.75017	2.38923	non-coding	lncRNA:CR44218
chr2L	250394	0.321134	7.39087	0.863817	TTS	kis
chr2L	250695	0.207295	4.28592	1.40285	TTS	kis
chr2L	267686	0.52606	12.6068	2.18793	promoter-TSS	CG17075
chr2L	271864	0.339461	8.55063	0.986933	promoter-TSS	CG3645
chr2L	273832	0.448441	3.23797	1.05131	promoter-TSS	CG11555
chr2L	277409	0.474147	2.98456	1.68027	promoter-TSS	smo
chr2L	283255	0.756478	7.83052	5.10585	promoter-TSS	CG11601
chr2L	285880	1.32874	11.7377	1.95131	promoter-TSS	CG3625
chr2L	292142	0.791394	11.1625	1.60971	promoter-TSS	CG11562
chr2L	292535	0.4477	0.620279	1.7823	promoter-TSS	CG11562
chr2L	294912	0.731914	2.28082	1.75156	promoter-TSS	Stip1
chr2L	298047	0.319512	0.513603	0.675309	TTS	Pi3K21B
chr2L	303457	0.563945	13.4802	0.685291	3'UTR	Pi3K21B
chr2L	305848	0.722189	8.37143	1.65882	promoter-TSS	Plc21C
chr2L	309531	0.408628	14.8009	2.46098	promoter-TSS	lncRNA:CR43719
chr2L	310095	0.164541	13.5997	2.23169	promoter-TSS	Plc21C
chr2L	311286	1.74703	7.06461	1.48886	intron	Plc21C
chr2L	315245	2.38591	15.23	0.403832	intron	CG11912
chr2L	317398	0.341455	6.66164	0.557356	TTS	CG11912
chr2L	317609	0.78827	8.10774	0.195374	TTS	CG11912
chr2L	322518	1.58963	4.63637	0.723249	exon	CG33127
chr2L	332782	0.968373	13.0928	0.981761	promoter-TSS	CG31921
chr2L	333206	0.262996	11.0189	2.12607	promoter-TSS	CG31921
chr2L	333657	1.47259	13.5141	0.466582	intron	CG31921
chr2L	335694	1.06121	14.5013	1.11006	intron	CG31921
chr2L	336114	0.916937	15.2443	0.843665	exon	CG31921
chr2L	337038	0.607077	9.49059	2.62706	exon	CG31921
chr2L	339860	0.553749	7.72775	0.547275	intron	CG31921
chr2L	341265	0.919007	12.3796	0.344629	intron	CG31921
chr2L	346933	0.283271	7.91157	3.54837	TTS	asRNA:CR45367
chr2L	356502	1.39966	7.33346	0.586658	promoter-TSS	asRNA:CR45366
chr2L	357796	1.41021	2.80923	3.28938	promoter-TSS	Ent1
chr2L	358075	1.09755	15.4136	2.02378	promoter-TSS	Ent1
chr2L	368858	0.502392	19.0426	0.590562	Intergenic	al
chr2L	370816	0.666996	16.009	0.690309	Intergenic	al
chr2L	377960	0.642616	17.8905	0.574266	promoter-TSS	al
chr2L	381442	0.689554	18.0956	0.301237	intron	al
chr2L	383131	0.578334	18.363	0.223384	intron	al
chr2L	383477	0.207743	18.1283	0.315937	intron	al
chr2L	390058	0.401908	17.0555	0.875028	Intergenic	lncRNA:CR43718
chr2L	391211	0.598084	15.7997	0.236331	Intergenic	lncRNA:CR43718
chr2L	392008	0.689412	14.8763	1.68975	Intergenic	lncRNA:CR43718
chr2L	393598	1.32483	17.3132	0.147281	Intergenic	lncRNA:CR43718
chr2L	394182	0.132302	16.0904	0.714324	Intergenic	lncRNA:CR43718
chr2L	394466	0.0994072	15.34	1.72465	Intergenic	lncRNA:CR43718
chr2L	395479	0.259635	14.841	1.06406	promoter-TSS	lncRNA:CR43718
chr2L	395722	0.0559664	14.2831	1.41675	promoter-TSS	lncRNA:CR43718
chr2L	399652	0.243991	10.6195	0.726771	intron	CG4213
chr2L	404087	2.00174	6.86	1.20614	promoter-TSS	RpI135
chr2L	406928	0.0109304	4.72151	0.588203	exon	RpI135
chr2L	407388	0.136531	2.195	0.801073	TTS	RpI135
chr2L	407827	0.972168	2.0618	0.672493	TTS	RpI135
chr2L	413149	0.322229	9.03973	1.80534	promoter-TSS	AP-2alpha
chr2L	414904	2.53496	5.35385	0.696045	promoter-TSS	AP-2alpha
chr2L	419828	0.367125	4.27976	1.53421	promoter-TSS	RpLP1
chr2L	421363	1.15554	6.69826	2.20886	promoter-TSS	CG11885
chr2L	423327	0.52232	20.1092	0.0166201	TTS	BBS8
chr2L	426389	0.0735032	17.5856	0.376215	Intergenic	BBS8
chr2L	427850	0.186308	17.8368	2.49992	Intergenic	ex
chr2L	429568	0.33596	19.2633	0.48649	Intergenic	ex
chr2L	429966	0.154392	20.4228	0.196082	Intergenic	ex
chr2L	430269	0.0306236	19.1638	0.636056	promoter-TSS	ex
chr2L	430782	0.199762	20.434	0.315948	promoter-TSS	ex
chr2L	431371	0.731914	20.4228	0.108753	5'UTR	ex
chr2L	435650	0.741641	16.5501	1.23171	intron	lncRNA:CR43717
chr2L	439137	0.738756	21.0414	0.0169212	promoter-TSS	lncRNA:CR43717
chr2L	440612	0.37523	19.5957	0.90826	TTS	lncRNA:CR43717
chr2L	441112	0.355246	20.3375	0.275779	intron	lncRNA:CR43717
chr2L	441747	0.707232	20.2179	0.661917	intron	lncRNA:CR43717
chr2L	442174	0.456763	19.8531	0.704489	intron	lncRNA:CR43717
chr2L	447878	0.288056	8.18575	1.35188	TTS	crq
chr2L	452960	0.437114	2.18892	0.796788	promoter-TSS	crq
chr2L	455671	0.67189	15.8296	1.48019	5'UTR	CG4133
chr2L	460208	0.360942	11.3169	0.091589	3'UTR	CG4133
chr2L	465737	0.189462	13.617	0.248224	intron	CG4297
chr2L	467861	0.0153437	13.4348	0.987804	intron	CG4297
chr2L	470782	0.590849	17.1782	0.750967	intron	CG4297
chr2L	471139	0.514471	15.638	1.07854	intron	CG4297
chr2L	472115	0.333929	16.7501	0.442311	promoter-TSS	CG4297
chr2L	473114	1.54042	11.2668	0.0865658	promoter-TSS	MED15
chr2L	479512	0.0648753	4.29456	1.80046	5'UTR	cbt
chr2L	480068	0.0586798	3.4515	2.99724	promoter-TSS	cbt
chr2L	480732	0.0666573	1.23871	4.90661	intron	cbt
chr2L	481107	0.0917707	1.17359	4.76007	intron	cbt
chr2L	481520	0.290806	5.72792	3.63768	intron	cbt
chr2L	485852	0.649525	8.50767	1.23585	intron	lncRNA:CR46258
chr2L	488342	0.979774	13.0243	3.91298	intron	lncRNA:CR46258
chr2L	490688	0.106321	2.14741	0.553074	promoter-TSS	lncRNA:CR46258
chr2L	492107	0.616969	14.2937	2.45153	non-coding	lncRNA:CR46258
chr2L	494351	0.600335	15.0123	0.209403	intron	lncRNA:CR46258
chr2L	499043	0.455863	14.032	0.677394	intron	lncRNA:CR46259
chr2L	499998	2.2953	19.3674	0.142682	TTS	lncRNA:CR46259
chr2L	505055	0.0684593	11.4715	1.17548	intron	lncRNA:CR46259
chr2L	507406	0.862392	16.2512	1.03214	intron	lncRNA:CR46259
chr2L	509355	0.366481	5.13581	0.61919	intron	lncRNA:CR46259
chr2L	510722	0.866492	16.0792	1.3532	intron	lncRNA:CR46259
chr2L	512311	0.905343	11.2778	0.544026	intron	lncRNA:CR46259
chr2L	512929	2.0437	13.5237	0.35509	intron	ush
chr2L	514322	0.990352	4.57325	1.06406	intron	ush
chr2L	514647	0.828389	13.1419	2.50984	intron	ush
chr2L	516256	0.00138531	11.0017	1.13481	intron	ush
chr2L	518436	0.805623	11.8034	2.21273	intron	ush
chr2L	520824	0.51837	17.7817	0.160723	intron	ush
chr2L	523527	0.143655	9.18182	0.764845	promoter-TSS	ush
chr2L	524752	0.623322	14.5977	0.432078	intron	ush
chr2L	526264	1.05043	11.4231	2.0952	intron	ush
chr2L	527250	2.13808	9.29386	2.56515	intron	ush
chr2L	530424	1.22916	18.9539	0.353575	intron	ush
chr2L	531686	0.518056	12.0965	2.89111	intron	ush
chr2L	533932	0.395544	16.0866	0.651517	intron	lwr
chr2L	534675	0.0830356	15.6706	0.735765	intron	lwr
chr2L	540880	0.674194	7.67328	1.50724	TTS	lwr
chr2L	542478	0.227767	3.66133	1.38116	TTS	lwr
chr2L	544577	0.131707	5.79262	1.05007	promoter-TSS	Spp
chr2L	548244	0.537114	14.4775	0.812673	intron	Ets21C
chr2L	552652	0.17015	15.0701	1.5183	promoter-TSS	Ets21C
chr2L	559769	2.42038	4.89032	1.35064	promoter-TSS	Tspo
chr2L	564145	0.452455	8.68753	0.424216	promoter-TSS	CG2794
chr2L	568240	0.553875	2.69009	0.768685	promoter-TSS	Sf3b1
chr2L	574370	0.425804	6.32867	1.16293	promoter-TSS	cold
chr2L	576927	2.22194	14.6963	0.564604	promoter-TSS	Ptth
chr2L	594962	0.179735	10.3392	1.60007	promoter-TSS	Gsc
chr2L	602705	0.827657	4.60145	1.27508	promoter-TSS	CG13689
chr2L	604934	1.27563	18.0252	0.190365	promoter-TSS	lncRNA:CR43648
chr2L	606632	0.439376	18.7525	0.285019	TTS	lncRNA:CR43648
chr2L	610917	1.12839	14.6869	2.66365	Intergenic	lncRNA:CR43649
chr2L	611500	0.991276	17.9805	0.220678	Intergenic	lncRNA:CR43649
chr2L	612598	0.741903	17.6215	0.149894	Intergenic	lncRNA:CR43649
chr2L	612966	1.68163	17.4796	0.746276	Intergenic	lncRNA:CR43649
chr2L	618478	0.213316	15.8966	1.90777	Intergenic	lectin-21Cb
chr2L	623446	0.0129125	17.3993	0.443746	TTS	lncRNA:CR44797
chr2L	625084	0.597848	11.6119	0.873504	promoter-TSS	lectin-21Ca
chr2L	628741	0.801204	12.6539	0.21931	promoter-TSS	lncRNA:CR45369
chr2L	629642	0.393885	11.9087	0.283266	TTS	lncRNA:CR45369
chr2L	631474	0.892097	15.6494	1.03477	Intergenic	lncRNA:CR45369
chr2L	631744	0.442896	13.6853	3.00831	Intergenic	lncRNA:CR45369
chr2L	633714	0.161694	17.2341	1.78036	Intergenic	lncRNA:CR45369
chr2L	634456	0.0446467	15.8291	5.10239	Intergenic	lncRNA:CR45369
chr2L	635016	0.127745	15.6716	1.89006	Intergenic	lncRNA:CR45369
chr2L	639476	0.0587563	16.4634	0.734249	TTS	lncRNA:CR45369
chr2L	644316	1.171	14.2921	0.113261	intron	lncRNA:CR45369
chr2L	645125	0.687539	12.2631	0.649681	exon	lncRNA:CR45369
chr2L	645480	0.66881	12.8441	0.67105	exon	lncRNA:CR45369
chr2L	646107	0.860051	16.398	0.127831	intron	lncRNA:CR45369
chr2L	646413	1.03609	16.2508	0.705543	intron	lncRNA:CR45369
chr2L	646944	0.512907	16.743	0.348107	intron	lncRNA:CR45369
chr2L	650780	1.18838	19.2151	0.3318	intron	lncRNA:CR45369
chr2L	651454	0.349144	17.2293	1.56369	intron	lncRNA:CR45369
chr2L	656338	0.695726	18.3377	0.176484	intron	lncRNA:CR45369
chr2L	657311	0.81274	14.4812	0.255365	exon	lncRNA:CR45369
chr2L	659307	1.34995	18.0333	0.253625	intron	lncRNA:CR45369
chr2L	659898	0.532453	14.2926	0.385982	intron	lncRNA:CR45369
chr2L	660789	0.882479	12.572	1.27918	intron	lncRNA:CR45369
chr2L	664224	1.28304	16.1183	0.29462	intron	lncRNA:CR45369
chr2L	665719	0.665362	10.8015	1.41281	intron	lncRNA:CR45369
chr2L	669420	1.33241	19.2559	0.135983	intron	lncRNA:CR45369
chr2L	670988	0.197575	15.4628	2.08924	intron	lncRNA:CR44988
chr2L	671350	0.26943	16.085	2.05061	intron	lncRNA:CR44988
chr2L	672970	0.460725	12.0756	0.353806	intron	lncRNA:CR44988
chr2L	675547	0.14072	17.0327	1.25286	intron	lncRNA:CR44988
chr2L	675881	0.448302	18.3899	0.0850119	intron	lncRNA:CR44988
chr2L	676552	0.525873	14.2423	1.42341	intron	lncRNA:CR44988
chr2L	677264	1.0749	14.7392	0.549387	intron	lncRNA:CR44988
chr2L	681331	0.785595	15.6799	0.259431	intron	lncRNA:CR44988
chr2L	682287	0.62397	16.0052	0.669752	intron	lncRNA:CR44988
chr2L	682604	0.616676	16.7017	0.385647	intron	lncRNA:CR44988
chr2L	684354	0.642881	17.6725	0.0425956	intron	lncRNA:CR44988
chr2L	684907	0.574625	15.7374	0.825674	intron	lncRNA:CR44988
chr2L	685490	0.617779	15.8603	0.983118	intron	lncRNA:CR44988
chr2L	686607	0.696812	17.1361	0.703178	intron	lncRNA:CR44988
chr2L	696498	0.530601	17.9221	0.591899	intron	lncRNA:CR44988
chr2L	696952	0.299904	15.89	2.9515	intron	lncRNA:CR44988
chr2L	699541	0.555859	16.4073	1.14931	intron	lncRNA:CR44988
chr2L	701039	1.09193	17.4108	0.456126	intron	lncRNA:CR44988
chr2L	702032	0.672147	20.9374	0.148977	intron	lncRNA:CR44988
chr2L	708350	0.838198	15.3542	0.546987	intron	lncRNA:CR44988
chr2L	710660	0.48363	11.4731	0.840649	promoter-TSS	lncRNA:CR44988
chr2L	715215	0.0797467	13.6667	4.20733	promoter-TSS	ds
chr2L	716448	0.336259	10.8383	3.75594	Intergenic	ds
chr2L	717925	0.370398	16.0893	1.15879	Intergenic	ds
chr2L	721854	0.866971	14.7828	0.718148	TTS	lncRNA:CR46260
chr2L	722478	0.641578	17.2322	0.120026	non-coding	lncRNA:CR46260
chr2L	722837	0.493346	16.383	1.13481	non-coding	lncRNA:CR46260
chr2L	723388	0.106127	15.2054	3.03701	non-coding	lncRNA:CR46260
chr2L	724828	0.292399	11.4398	1.19307	promoter-TSS	lncRNA:CR46260
chr2L	730896	0.468566	9.45009	0.656723	TTS	Hsp60B
chr2L	735373	0.441191	12.0931	3.81725	Intergenic	Eaat2
chr2L	735835	0.25338	7.71836	4.16727	Intergenic	Eaat2
chr2L	736135	0.174109	8.00821	2.23138	Intergenic	Eaat2
chr2L	740221	0.931541	10.841	0.49068	intron	Eaat2
chr2L	741637	0.529894	18.1842	0.287748	5'UTR	Eaat2
chr2L	745930	0.0825251	12.1441	1.70169	Intergenic	Eaat2
chr2L	748240	1.03919	10.3675	0.425879	Intergenic	GABA-B-R3
chr2L	750695	1.29695	19.2885	0.0988671	promoter-TSS	GABA-B-R3
chr2L	751523	0.410347	15.2788	0.800234	intron	GABA-B-R3
chr2L	752039	0.289163	15.9746	0.20128	promoter-TSS	GABA-B-R3
chr2L	769137	0.569349	9.90418	2.4436	Intergenic	lncRNA:CR44614
chr2L	769454	0.577156	5.3099	7.64004	Intergenic	lncRNA:CR44614
chr2L	798119	0.909452	14.4965	0.242701	Intergenic	lncRNA:CR45259
chr2L	801619	1.84929	11.8139	0.23198	Intergenic	lncRNA:CR45259
chr2L	808234	0.948725	8.66706	1.236	Intergenic	Nnf1b
chr2L	810712	0.977661	11.8975	2.84894	promoter-TSS	Nnf1b
chr2L	811093	1.33665	11.3444	2.08747	promoter-TSS	Dbp21E2
chr2L	811517	2.35156	10.2223	0.582051	promoter-TSS	Dbp21E2
chr2L	816050	0.50777	2.90214	1.0981	promoter-TSS	Pex12
chr2L	819770	0.654165	1.92191	0.355806	promoter-TSS	Clp
chr2L	821564	0.494184	13.1638	0.444338	TTS	CG3662
chr2L	822511	0.16071	14.3973	1.96119	5'UTR	CG3662
chr2L	826094	0.491107	4.96533	1.48133	promoter-TSS	dock
chr2L	826781	0.367471	17.5924	0.421642	promoter-TSS	dock
chr2L	831932	0.446155	8.00722	0.0346813	3'UTR	dock
chr2L	832264	0.884263	7.7271	0.103807	TTS	dock
chr2L	832529	1.11214	5.71894	0.116248	TTS	dock
chr2L	833846	0.0515165	10.1714	1.13476	TTS	dock
chr2L	834144	0.0131968	10.0508	0.86472	TTS	dock
chr2L	838019	0.560046	9.53001	0.805999	intron	drongo
chr2L	839498	1.02498	6.57902	1.12399	intron	drongo
chr2L	840906	0.806227	17.5572	0.303627	intron	drongo
chr2L	841328	1.22748	15.5069	0.745182	intron	drongo
chr2L	841862	0.854775	13.6983	1.3083	intron	drongo
chr2L	843965	0.115288	15.9532	1.4723	intron	drongo
chr2L	844363	0.0239452	14.4837	2.42073	intron	drongo
chr2L	845102	0.406211	5.68275	2.08088	intron	drongo
chr2L	845484	0.187509	6.89257	3.43391	intron	drongo
chr2L	846343	0.42748	11.8034	0.471552	intron	drongo
chr2L	846800	0.253202	13.2969	0.229949	intron	drongo
chr2L	848274	0.803877	17.9046	0.42096	intron	lncRNA:CR44060
chr2L	850977	0.96836	1.86001	0.522928	promoter-TSS	drongo
chr2L	852878	0.219633	9.77636	0.168363	promoter-TSS	kraken
chr2L	855398	1.31154	1.13479	1.08327	promoter-TSS	CG13949
chr2L	866030	0.0488043	14.7786	2.21115	promoter-TSS	aru
chr2L	867568	0.460301	18.0199	0.684429	intron	aru
chr2L	867972	0.2593	17.6877	0.811121	promoter-TSS	aru
chr2L	870238	0.390247	2.48692	0.813479	promoter-TSS	PNUTS
chr2L	871282	0.174134	1.01689	0.547482	5'UTR	PNUTS
chr2L	874146	0.213316	12.7956	0.955019	TTS	PNUTS
chr2L	885052	1.27408	5.46129	0.0985672	promoter-TSS	CG15824
chr2L	901574	0.625378	11.9181	0.56059	promoter-TSS	snRNA:U1:21D
chr2L	906250	0.310001	14.4005	0.488712	Intergenic	lncRNA:CR45261
chr2L	918942	0.883567	15.2265	0.303375	Intergenic	CG4341
chr2L	922122	0.707366	12.0432	3.81277	promoter-TSS	CG4341
chr2L	922439	0.0780784	18.0052	0.844427	promoter-TSS	CG4341
chr2L	922865	0.739333	18.584	0.408277	promoter-TSS	CG4341
chr2L	928720	0.386575	14.2249	1.45176	intron	CG4341
chr2L	933332	0.499949	12.34	1.14728	intron	CG4341
chr2L	940289	2.4941	14.0578	4.45229	intron	CG4341
chr2L	949641	0.449152	13.5715	0.664473	intron	CG4341
chr2L	954320	0.0953014	13.3051	0.766284	intron	CG4341
chr2L	954692	0.394372	13.0761	0.594279	intron	CG4341
chr2L	954929	0.203191	11.6028	0.99324	intron	CG4341
chr2L	958934	0.1644	12.7325	0.375811	TTS	lncRNA:CR44801
chr2L	960773	0.371338	15.8679	1.09379	Intergenic	lncRNA:CR44801
chr2L	963593	0.0470191	12.9391	0.880419	Intergenic	lncRNA:CR44801
chr2L	986815	1.03423	11.4232	0.367163	TTS	lncRNA:CR44801
chr2L	991885	0.441661	8.08791	2.78459	promoter-TSS	lncRNA:CR44801
chr2L	1007448	0.0858067	8.88706	2.37195	TTS	lncRNA:CR44801
chr2L	1008062	0.338918	7.93329	3.05895	TTS	lncRNA:CR44801
chr2L	1009376	0.289838	16.0796	0.289809	3'UTR	CG4375
chr2L	1013121	0.247029	4.97099	0.528881	3'UTR	CG4375
chr2L	1018360	0.151083	13.7041	0.399234	intron	CG4375
chr2L	1019778	0.517132	13.4817	0.760608	intron	CG4375
chr2L	1021283	0.40867	16.187	0.517865	intron	CG4375
chr2L	1021863	0.504942	15.7035	0.410653	intron	CG4375
chr2L	1023217	0.143341	15.3782	1.00066	intron	CG4375
chr2L	1024784	0.731914	9.62535	0.911388	intron	CG4375
chr2L	1032142	0.338302	13.5984	0.905902	intron	IA-2
chr2L	1039083	0.404806	11.3578	1.58597	TTS	CG4415
chr2L	1043413	0.0551487	14.596	1.48503	promoter-TSS	IA-2
chr2L	1047891	0.106104	16.4785	0.797954	intron	IA-2
chr2L	1048500	0.185315	16.0772	1.63144	promoter-TSS	IA-2
chr2L	1049712	1.80517	1.73199	1.55585	TTS	IA-2
chr2L	1055134	0.744716	10.8211	1.92254	intron	IA-2
chr2L	1055585	0.74507	9.61063	0.813479	intron	IA-2
chr2L	1055802	0.449897	8.11897	0.755622	intron	IA-2
chr2L	1056530	0.310846	8.59065	0.699735	intron	IA-2
chr2L	1056771	0.248201	9.01645	1.11675	intron	IA-2
chr2L	1058767	1.09492	9.84095	0.827649	intron	IA-2
chr2L	1063024	0.0939555	16.5454	2.08079	intron	S
chr2L	1063525	0.06029	18.2135	0.581814	intron	S
chr2L	1064807	0.906899	13.03	2.88943	intron	S
chr2L	1065416	0.441191	16.3776	1.97432	intron	S
chr2L	1065709	0.470104	16.1785	1.97205	intron	S
chr2L	1068010	0.125737	4.66493	0.409569	intron	S
chr2L	1069990	0.427102	8.28559	4.27751	intron	S
chr2L	1070210	0.216502	9.10299	3.52663	intron	S
chr2L	1071464	0.511216	15.7026	2.02577	intron	S
chr2L	1074196	0.798914	17.3723	0.388373	intron	S
chr2L	1077664	0.268073	5.12184	0.958325	promoter-TSS	S
chr2L	1081033	2.69972	5.93841	0.135702	TTS	Atg4a
chr2L	1082904	0.0974373	14.9758	0.641371	TTS	Atg4a
chr2L	1086448	1.02955	14.4782	0.946229	intron	Atg4a
chr2L	1086777	1.52347	15.6067	0.547308	intron	Atg4a
chr2L	1092295	0.496317	15.0464	1.66861	intron	CG4629
chr2L	1093239	0.2797	14.2187	1.91909	intron	CG4629
chr2L	1095252	0.124621	14.9102	0.606965	intron	CG4629
chr2L	1095884	0.653301	18.6403	0.0171142	intron	CG4629
chr2L	1096849	0.140258	15.025	0.337884	intron	CG4629
chr2L	1098576	0.3169	10.9899	1.03348	intron	CG4629
chr2L	1102526	0.0575045	16.5273	1.49831	promoter-TSS	CG4629
chr2L	1108262	0.532631	3.73948	0.59166	promoter-TSS	mtRNApol
chr2L	1112862	1.06561	11.3882	0.279214	promoter-TSS	CG14340
chr2L	1117836	0.0243876	15.7072	2.02992	intron	Pino
chr2L	1119203	0.249058	11.1058	1.81416	promoter-TSS	Pino
chr2L	1119531	0.647146	8.82931	4.13296	promoter-TSS	Pino
chr2L	1120779	0.37642	15.7532	1.61332	intron	Pino
chr2L	1126478	0.969545	15.6703	0.339473	intron	Pino
chr2L	1128953	0.313895	3.59171	0.674507	promoter-TSS	Pino
chr2L	1134253	0.374926	14.5044	1.99069	promoter-TSS	Iris
chr2L	1134761	0.0248835	17.6482	1.87495	promoter-TSS	CG4577
chr2L	1135965	0.728741	14.5752	2.96115	intron	CG4577
chr2L	1136479	2.4169	16.879	0.256678	intron	CG4577
chr2L	1136924	1.39966	14.9161	1.67426	intron	CG4577
chr2L	1143011	0.511216	15.5538	0.765699	promoter-TSS	lncRNA:CR45717
