Chr Peak_pos -log10(FDR-adjusted-pvalue)_Coverage_Genotype -log10(FDR-adjusted-pvalue)_Coverage_Tissue -log10(FDR-adjusted-pvalue)_Coverage_Interaction Feautre_type Gene
chr2L 460208 0.351945 13.3017 0.127946 5'-UTR
chr2L 465737 0.190062 15.6007 0.229855 3'-UTR
chr2L 467861 0.0191726 16.1498 0.740129 intron CG4297
chr2L 470782 0.689421 20.2387 0.771118 intron CG4297
chr2L 471139 0.607257 18.3412 0.896271 intron CG4297
chr2L 472115 0.161788 19.5948 0.778341 intron CG4297
chr2L 473114 1.00889 11.8942 0.284393 promoter-TSS CG4297
chr2L 479512 0.058464 5.23282 1.70192 promoter-TSS MED15
chr2L 480068 0.0148982 4.62808 2.2598 5'-UTR
chr2L 480732 2.01802 1.13003 10.079 promoter-TSS cbt
chr2L 481107 0.114246 1.86257 5.02604 intron cbt
chr2L 481520 0.301441 7.18298 3.87868 intron cbt
chr2L 485852 0.805551 10.0464 1.50318 intron cbt
chr2L 488342 0.767938 14.8095 3.17833 intron lncRNA:CR46258
chr2L 490688 0.0458149 2.74355 1.11845 intron lncRNA:CR46258
chr2L 491759 0.374789 15.8968 1.73578 promoter-TSS lncRNA:CR46258
chr2L 492107 0.824988 16.4876 3.86847 promoter-TSS lncRNA:CR46258
chr2L 494351 0.643007 17.5773 0.203162 non-coding lncRNA:CR46258
chr2L 499043 0.487771 16.5967 0.712405 intron lncRNA:CR46258
chr2L 499998 2.15102 21.6488 0.377419 intron lncRNA:CR46259
chr2L 501932 10.4897 8.19844 9.18018 TTS lncRNA:CR46259
chr2L 505055 0.066721 13.6041 1.24989 non-coding lncRNA:CR46259
chr2L 507406 0.83922 18.9381 1.37917 intron lncRNA:CR46259
chr2L 509355 0.581414 5.99527 0.503017 intron lncRNA:CR46259
chr2L 510722 0.886488 18.819 1.64693 intron lncRNA:CR46259
chr2L 512311 1.3844 13.2995 0.476925 intron lncRNA:CR46259
chr2L 512929 2.80735 16.341 0.225728 intron lncRNA:CR46259
chr2L 514322 1.15272 5.06166 1.44414 intron ush
chr2L 514647 0.922998 15.6312 2.55091 intron ush
chr2L 516256 0.219278 13.3393 0.911207 intron ush
chr2L 518436 0.95853 14.385 1.99264 intron ush
chr2L 520824 0.699554 19.6288 0.464903 intron ush
chr2L 523527 0.165822 10.9141 0.808983 intron ush
chr2L 524752 0.536111 15.5397 0.826284 promoter-TSS ush
chr2L 526264 1.57375 13.861 2.08437 intron ush
chr2L 527250 2.91748 11.4761 2.77817 intron ush
chr2L 530424 1.53079 22.5887 0.390291 intron ush
chr2L 531686 0.487241 15.4902 2.59674 intron ush
chr2L 533932 0.394306 19.1 0.686649 intron ush
chr2L 534675 0.0993419 18.494 0.333927 intron lwr
chr2L 540880 0.851221 8.39077 1.77306 intron lwr
chr2L 542478 0.187017 4.62226 2.15709 TTS lwr
chr2L 544577 0.0834704 6.52804 1.62661 TTS lwr
chr2L 548244 1.14787 16.1089 1.62433 promoter-TSS Spp
chr2L 552652 0.166033 17.9025 1.72802 intron Ets21C
chr2L 559769 2.54371 4.73134 1.9461 promoter-TSS Ets21C
chr2L 564145 0.220324 8.04105 0.937479 promoter-TSS Tspo
chr2L 568240 0.492071 2.55666 0.844286 promoter-TSS CG2794
chr2L 574370 0.455118 7.4642 1.03051 promoter-TSS Sf3b1
chr2L 576927 2.53961 17.0763 0.753952 promoter-TSS cold
chr2L 588146 0.417506 17.7255 0.295799 promoter-TSS Ptth
chr2L 594962 0.169204 12.2601 1.79094 promoter-TSS lncRNA:CR46148
chr2L 602705 0.585095 3.39475 2.19816 promoter-TSS Gsc
chr2L 604934 1.13654 20.6576 0.350948 promoter-TSS CG13689
chr2L 606632 0.905828 21.9186 0.234113 promoter-TSS lncRNA:CR43648
chr2L 610917 1.30049 17.2331 2.13116 TTS lncRNA:CR43648
chr2L 611500 1.37796 21.4385 0.124901 Intergenic lncRNA:CR43649
chr2L 612598 0.866343 21.1408 0.123151 Intergenic lncRNA:CR43649
chr2L 612966 2.13174 20.8862 0.648522 Intergenic lncRNA:CR43649
chr2L 618478 0.189998 18.667 2.0758 Intergenic lncRNA:CR43649
chr2L 623446 0.0674267 20.0335 0.729391 Intergenic lectin-21Cb
chr2L 625084 1.00985 14.1031 0.62165 TTS lncRNA:CR44797
chr2L 628741 0.900033 13.3704 0.513992 promoter-TSS lectin-21Ca
chr2L 631474 0.915836 18.09 1.44193 promoter-TSS lncRNA:CR45369
chr2L 631744 0.510764 16.5422 2.53835 Intergenic lncRNA:CR45369
chr2L 633714 0.153621 19.8124 2.05999 Intergenic lncRNA:CR45369
chr2L 634456 0.0279796 18.5246 6.00258 Intergenic lncRNA:CR45369
chr2L 635016 0.154567 18.7704 2.06179 Intergenic lncRNA:CR45369
chr2L 639476 0.247699 18.7477 1.15619 Intergenic lncRNA:CR45369
chr2L 644316 1.25093 16.5278 0.0916908 TTS lncRNA:CR45369
chr2L 645125 0.871485 13.9023 1.01326 intron lncRNA:CR45369
chr2L 645480 0.765502 15.3916 0.794816 exon lncRNA:CR45369
chr2L 646107 1.01389 18.9979 0.149305 exon lncRNA:CR45369
chr2L 646413 1.4687 18.7603 0.386257 intron lncRNA:CR45369
chr2L 646944 0.588986 19.8957 0.339131 intron lncRNA:CR45369
chr2L 650780 0.577489 21.8757 0.830443 intron lncRNA:CR45369
chr2L 651454 0.281176 20.9087 1.13808 intron lncRNA:CR45369
chr2L 656338 0.549545 20.7277 0.353903 intron lncRNA:CR45369
chr2L 657311 0.977926 17.3982 0.25937 intron lncRNA:CR45369
chr2L 659307 1.81262 21.5836 0.117394 exon lncRNA:CR45369
chr2L 659898 0.767016 17.1531 0.344416 intron lncRNA:CR45369
chr2L 660789 1.04923 14.9175 1.46316 intron lncRNA:CR45369
chr2L 663495 0.635715 17.2381 0.321699 intron lncRNA:CR45369
chr2L 664224 0.671113 16.1926 1.14161 intron lncRNA:CR45369
chr2L 665719 1.54586 13.6937 0.756699 intron lncRNA:CR45369
chr2L 669420 1.6122 22.7193 0.101591 intron lncRNA:CR45369
chr2L 670988 0.203114 18.3995 2.1039 intron lncRNA:CR45369
chr2L 671350 0.292014 19.2135 1.90396 intron lncRNA:CR44988
chr2L 672970 0.43219 14.143 0.362917 intron lncRNA:CR44988
chr2L 675547 0.165168 20.1744 1.31974 intron lncRNA:CR44988
chr2L 675881 0.501643 21.8468 0.0651773 intron lncRNA:CR44988
chr2L 676552 0.580922 17.1593 0.682174 intron lncRNA:CR44988
chr2L 677264 1.24061 17.4184 0.470151 intron lncRNA:CR44988
chr2L 681331 0.806525 17.6917 0.540793 intron lncRNA:CR44988
chr2L 682287 1.04536 19.2302 0.459816 intron lncRNA:CR44988
chr2L 682604 1.11182 19.4909 0.190705 intron lncRNA:CR44988
chr2L 684354 0.363663 19.1557 0.213059 intron lncRNA:CR44988
chr2L 684907 0.747028 16.9331 1.82096 intron lncRNA:CR44988
chr2L 685490 1.58397 18.9439 0.886788 intron lncRNA:CR44988
chr2L 686607 0.776716 20.1478 1.04294 intron lncRNA:CR44988
chr2L 695134 2.07389 6.43881 0.731492 intron lncRNA:CR44988
chr2L 696498 0.517933 21.1692 0.638974 intron lncRNA:CR44988
chr2L 696952 0.28458 18.7382 3.19157 intron lncRNA:CR44988
chr2L 699541 0.584497 19.3681 1.33422 intron lncRNA:CR44988
chr2L 701039 1.17287 20.2995 0.305554 intron lncRNA:CR44988
chr2L 702032 0.551131 24.3781 0.271816 intron lncRNA:CR44988
chr2L 708350 1.10723 18.5028 0.158268 intron lncRNA:CR44988
chr2L 710660 0.646219 13.9289 0.633524 intron lncRNA:CR44988
chr2L 715215 0.113311 16.4882 3.5203 promoter-TSS lncRNA:CR44988
chr2L 716448 0.893186 12.8097 4.34386 promoter-TSS ds
chr2L 717925 0.289543 18.6156 1.37456 Intergenic ds
chr2L 721854 0.958775 17.7044 0.474041 Intergenic ds
chr2L 722478 0.827478 20.062 0.147645 TTS lncRNA:CR46260
chr2L 722837 0.34621 17.8981 1.95301 non-coding lncRNA:CR46260
chr2L 723388 0.0828133 17.5985 3.1583 non-coding lncRNA:CR46260
chr2L 724828 0.291291 12.771 1.77452 non-coding lncRNA:CR46260
chr2L 730896 0.969766 10.7302 1.01774 promoter-TSS lncRNA:CR46260
chr2L 735373 0.65356 14.6328 3.28632 TTS Hsp60B
chr2L 735835 0.402318 9.2512 3.91788 Intergenic Eaat2
chr2L 736135 0.213142 9.88446 2.32548 Intergenic Eaat2
chr2L 740221 0.598797 11.1453 1.4139 Intergenic Eaat2
chr2L 741637 0.155731 21.4423 0.169779 intron Eaat2
chr2L 745930 0.0583292 14.1219 1.90144 5'-UTR
chr2L 748240 1.25596 12.6091 0.289905 Intergenic Eaat2
chr2L 750695 1.88216 22.5706 0.0330356 Intergenic GABA-B-R3
chr2L 751523 0.439242 18.0129 1.04078 promoter-TSS GABA-B-R3
chr2L 752039 0.272309 18.8896 0.231879 intron GABA-B-R3
chr2L 769137 0.62521 12.0046 2.52745 promoter-TSS GABA-B-R3
chr2L 769454 0.639815 6.38933 7.29805 Intergenic lncRNA:CR44614
chr2L 798119 0.906696 16.7019 0.143177 Intergenic lncRNA:CR44614
chr2L 801619 2.43722 14.159 0.144563 Intergenic lncRNA:CR45259
chr2L 808234 1.27961 10.1885 1.13415 Intergenic lncRNA:CR45259
chr2L 809468 0.724706 8.37075 2.5981 Intergenic Nnf1b
chr2L 810712 5.4051 13.0098 3.66583 Intergenic Nnf1b
chr2L 811093 4.48397 13.3517 1.94107 promoter-TSS Nnf1b
chr2L 811517 3.21193 11.0015 0.908448 promoter-TSS Dbp21E2
chr2L 816050 0.623189 2.97699 0.955256 promoter-TSS Dbp21E2
chr2L 819770 0.558101 1.7233 0.53749 promoter-TSS Pex12
chr2L 821564 0.304364 12.6211 1.67197 promoter-TSS Clp
chr2L 822511 0.169029 16.1532 2.94327 TTS CG3662
chr2L 826094 0.35902 5.70309 2.36618 5'-UTR
chr2L 826781 0.459404 20.7002 0.443071 promoter-TSS dock
chr2L 831932 2.46437 8.5983 0.0393488 promoter-TSS dock
chr2L 832264 1.33239 8.61517 0.106643 3'-UTR
chr2L 832529 1.31167 6.04137 0.148637 TTS dock
chr2L 833252 1.34749 9.15649 0.847576 TTS dock
chr2L 833846 0.216056 11.4548 1.07444 TTS dock
chr2L 834144 0.118471 11.1134 0.933201 TTS dock
chr2L 838019 1.1265 11.3408 0.576242 TTS dock
chr2L 839498 1.0012 7.48826 1.18611 intron drongo
chr2L 840906 0.642585 19.6244 0.545579 intron drongo
chr2L 841328 1.66455 17.8446 0.769264 intron drongo
chr2L 841862 0.727497 14.8306 2.22545 intron drongo
chr2L 843965 0.150096 18.7974 1.38805 intron drongo
chr2L 844363 0.256946 17.1004 2.39351 intron drongo
chr2L 845102 0.467593 6.65762 1.66969 intron drongo
chr2L 845484 0.342163 8.04698 3.60353 intron drongo
chr2L 846343 0.623698 12.5662 0.879373 intron drongo
chr2L 846800 0.757768 15.276 0.301382 intron drongo
chr2L 848274 0.877756 21.1782 0.352343 intron drongo
chr2L 850977 0.584805 2.23767 1.88822 intron lncRNA:CR44060
chr2L 852878 0.0826603 7.24162 1.18375 promoter-TSS drongo
chr2L 855398 0.568204 0.821076 3.54799 promoter-TSS kraken
chr2L 866030 0.0291198 16.9192 3.32045 promoter-TSS CG13949
chr2L 867568 0.514454 21.3883 0.72476 promoter-TSS aru
chr2L 867972 0.285176 21.0579 0.952921 intron aru
chr2L 870238 0.255153 2.28619 1.81954 promoter-TSS aru
chr2L 871282 0.109902 0.396927 0.847435 promoter-TSS PNUTS
chr2L 874146 0.53862 15.421 0.798376 5'-UTR
chr2L 885052 0.994055 4.17945 0.349588 TTS PNUTS
chr2L 901574 0.262192 13.1898 1.62137 promoter-TSS CG15824
chr2L 906250 0.197726 16.532 0.750735 promoter-TSS snRNA:U1:21D
chr2L 918942 0.811056 17.2028 0.395237 Intergenic lncRNA:CR45261
chr2L 922122 1.0664 14.3452 4.13009 Intergenic CG4341
chr2L 922439 0.0452074 20.6999 1.08116 promoter-TSS CG4341
chr2L 922865 0.115065 20.5298 1.02428 promoter-TSS CG4341
chr2L 928720 0.34502 15.9223 2.00844 promoter-TSS CG4341
chr2L 933332 0.644876 14.8004 1.05964 intron CG4341
chr2L 940289 2.93638 16.9119 4.0405 intron CG4341
chr2L 949641 0.345807 15.273 0.846585 intron CG4341
chr2L 954320 0.0675405 15.2046 0.757466 intron CG4341
chr2L 954692 0.436473 15.8191 0.520082 intron CG4341
chr2L 954929 0.232758 13.9303 0.642252 intron CG4341
chr2L 958934 0.286814 15.4807 0.294965 intron CG4341
chr2L 960773 0.504628 18.3327 1.14803 TTS lncRNA:CR44801
chr2L 961485 0.263108 11.6907 3.9124 Intergenic lncRNA:CR44801
chr2L 961906 2.1798 13.166 3.37621 Intergenic lncRNA:CR44801
chr2L 963593 0.0587566 15.2034 0.58456 Intergenic lncRNA:CR44801
chr2L 975007 0.449416 15.1097 0.698318 Intergenic lncRNA:CR44801
chr2L 978050 0.691127 0.909732 0.816828 Intergenic lncRNA:CR44801
chr2L 978959 2.16113 11.5562 0.677089 Intergenic lncRNA:CR44801
chr2L 982497 2.35314 0.384607 0.691625 Intergenic lncRNA:CR44801
chr2L 986815 1.90386 13.362 0.239173 Intergenic lncRNA:CR44801
chr2L 991885 0.583556 9.79225 2.6431 TTS lncRNA:CR44801
chr2L 1006844 2.21058 8.38155 2.32776 promoter-TSS lncRNA:CR44801
chr2L 1007448 0.119794 10.4295 1.69445 Intergenic lncRNA:CR44801
chr2L 1008062 0.259083 9.24141 3.42689 TTS lncRNA:CR44801
chr2L 1009376 0.544945 18.9601 0.242536 TTS lncRNA:CR44801
chr2L 1013121 0.184425 6.06663 0.541568 3'-UTR
chr2L 1018360 0.118343 15.9518 0.285743 3'-UTR
chr2L 1019778 0.767651 16.0068 0.703092 intron CG4375
chr2L 1021283 0.349557 18.4823 0.814623 intron CG4375
chr2L 1021863 0.516062 18.4756 0.310738 intron CG4375
chr2L 1023217 0.156949 18.3146 0.728043 intron CG4375
chr2L 1024784 0.866954 11.0565 0.985956 intron CG4375
chr2L 1032142 0.358921 16.3637 0.834202 intron CG4375
chr2L 1039083 0.425257 13.063 1.85424 intron IA-2
chr2L 1043413 0.0455579 17.5777 1.27586 TTS CG4415
chr2L 1047891 0.087548 19.6036 0.731992 promoter-TSS IA-2
chr2L 1048500 0.198464 19.2134 1.48721 intron IA-2
chr2L 1049712 1.87973 1.32557 1.69043 promoter-TSS IA-2
chr2L 1055134 0.874507 13.1468 1.61284 TTS IA-2
chr2L 1055585 0.754173 10.9316 0.758228 intron IA-2
chr2L 1055802 0.473993 9.65991 0.68455 intron IA-2
chr2L 1056530 0.216263 9.73115 0.940494 intron IA-2
chr2L 1056771 0.155265 10.3588 1.19541 intron IA-2
chr2L 1057635 0.200037 2.94596 2.70644 intron IA-2
chr2L 1058767 1.38367 12.074 0.776038 intron IA-2
chr2L 1063024 0.0583292 19.0049 2.97432 intron IA-2
chr2L 1063525 0.101653 21.6716 0.670292 intron S
chr2L 1064807 1.45297 15.7432 2.94406 intron S
chr2L 1065416 0.634192 19.6984 1.49897 intron S
chr2L 1065709 0.700272 19.3371 1.9115 intron S
chr2L 1068010 0.144348 5.83265 0.280982 intron S
chr2L 1069990 0.539242 10.2286 4.34963 intron S
chr2L 1070210 0.228405 10.9781 3.83205 intron S
chr2L 1071464 0.527141 18.5297 1.88472 intron S
chr2L 1074196 0.88169 20.0261 0.604519 intron S
chr2L 1077664 0.279147 6.08635 0.991802 intron S
chr2L 1081033 3.16231 6.82666 0.12953 promoter-TSS S
chr2L 1082904 0.167711 17.7403 0.648291 TTS Atg4a
chr2L 1086448 1.17287 16.8978 0.867279 TTS Atg4a
chr2L 1086777 1.58764 18.0351 0.636866 intron Atg4a
chr2L 1089694 8.08238 10.0943 4.57033 intron Atg4a
chr2L 1092295 0.319076 16.2065 2.42233 intron Atg4a
chr2L 1093239 0.213589 15.6288 2.45093 intron CG4629
chr2L 1095252 0.13198 17.4969 0.55951 intron CG4629
chr2L 1095884 0.376076 20.4264 0.0780622 intron CG4629
chr2L 1096849 0.246571 17.8634 0.215096 intron CG4629
chr2L 1098576 0.269281 12.5142 1.34663 intron CG4629
chr2L 1102526 0.309334 20.6852 0.812878 intron CG4629
chr2L 1108262 0.57347 4.7537 0.581533 promoter-TSS CG4629
chr2L 1112862 1.0488 13.037 0.430099 promoter-TSS mtRNApol
chr2L 1117836 0.0351755 18.492 2.07189 promoter-TSS CG14340
chr2L 1119203 0.589256 13.3247 1.85195 intron Pino
chr2L 1119531 0.993491 10.4914 4.7872 promoter-TSS Pino
chr2L 1120779 0.453724 18.3731 2.13165 promoter-TSS Pino
